0	0	0	0
0	0	0	0
-150	0	-50	0
0	0	0	0
-300	0	-50	0
0	0	0	0
-200	0	-50	0
0	0	0	0
-250	-1250	-50	0
-350	0	-50	-250
0	0	0	0
-350	0	-25	0
0	0	-75	0
-250	-1500	0	0
-200	0	-25	0
0	0	0	0
-300	0	-25	0
-150	0	-75	0
-250	0	0	0
0	0	-50	-275
-250	-1750	0	0
-300	0	-25	0
0	0	0	0
-350	0	-50	0
0	0	-25	0
-200	0	-50	0
-250	0	0	0
-150	0	-25	0
-250	0	-75	-300
0	0	-50	0
-350	0	-25	0
-200	-2000	0	0
-250	0	-25	0
-250	0	-25	0
-150	0	-25	-325
0	0	0	0
-150	0	-75	0
-300	0	-25	0
-350	0	-50	0
0	0	-75	0
-350	0	-25	0
-200	0	0	0
-250	0	-25	0
-250	0	-25	0
-150	0	-25	-350
0	-2250	-25	0
-150	0	-75	0
-300	0	-25	0
-350	0	-50	0
-250	0	-75	0
-350	0	-25	0
-200	0	-25	0
-250	0	-25	0
-250	0	-25	0
-150	0	-25	0
-250	0	-25	0
-150	0	-75	0
-300	-2500	-25	-375
-350	0	-50	0
-250	0	-75	0
